                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.2000000000000000E+001          1.3999999999999999E+000          9.5893752148130875E+002                       "gfortran"                         "13.1.0"                               ""                       "20240218" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.4918089455560846E+003          9.5893752148130841E+002          9.7199999999999977E+002          0.0000000000000000E+000          5.3578101341937678E+000          4.5924086864518010E+001          4.3639064929007185E+000          0.0000000000000000E+000          5.4998891881460486E+002          2.1015389336168352E+002         -9.9206546469644108E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551412001541E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551412001541E+053         -5.7495666453886635E+027          0.0000000000000000E+000         -5.7495666453886635E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2039069809621997E+003          9.5893752148130579E+002          9.7199999999999795E+002          0.0000000000000000E+000          5.3578101341937714E+000          4.5924086864518038E+001          4.3482874318207454E+000          0.0000000000000000E+000          5.4998891881460372E+002          2.1015389336168315E+002         -9.9209386356148299E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551412001456E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551412001456E+053         -5.7495666453886910E+027          0.0000000000000000E+000         -5.7495666453886910E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4440794764423945E+004          9.5893752148130011E+002          9.7199999999999420E+002          0.0000000000000000E+000          5.3578101341937829E+000          4.5924086864518138E+001          4.3249473282592552E+000          0.0000000000000000E+000          5.4998891881460167E+002          2.1015389336168232E+002         -9.9213630096842509E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551412001286E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551412001286E+053         -5.7495666453887526E+027          0.0000000000000000E+000         -5.7495666453887526E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7425127373767471E+004          9.5893752148128601E+002          9.7199999999998465E+002          0.0000000000000000E+000          5.3578101341938087E+000          4.5924086864518365E+001          4.3207006204573197E+000          0.0000000000000000E+000          5.4998891881459622E+002          2.1015389336168025E+002         -9.9214402241090627E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551412000861E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551412000861E+053         -5.7495666453889175E+027          0.0000000000000000E+000         -5.7495666453889175E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.4617501892249144E+004          9.5893752148125134E+002          9.7199999999996123E+002          0.0000000000000000E+000          5.3578101341938735E+000          4.5924086864518927E+001          4.3330854639004217E+000          0.0000000000000000E+000          5.4998891881458303E+002          2.1015389336167522E+002         -9.9212150406004584E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411999823E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411999823E+053         -5.7495666453893211E+027          0.0000000000000000E+000         -5.7495666453893211E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3693043125407744E+005          9.5893752148116664E+002          9.7199999999990393E+002          0.0000000000000000E+000          5.3578101341940325E+000          4.5924086864520277E+001          4.3628525944171077E+000          0.0000000000000000E+000          5.4998891881455063E+002          2.1015389336166282E+002         -9.9206738091410851E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411997271E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411997271E+053         -5.7495666453903161E+027          0.0000000000000000E+000         -5.7495666453903161E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9105053964370210E+005          9.5893752148095257E+002          9.7199999999975932E+002          0.0000000000000000E+000          5.3578101341944304E+000          4.5924086864523694E+001          4.4297030078705566E+000          0.0000000000000000E+000          5.4998891881446878E+002          2.1015389336163159E+002         -9.9194583225891342E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411990839E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411990839E+053         -5.7495666453928087E+027          0.0000000000000000E+000         -5.7495666453928087E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.3913569428241896E+006          9.5893752148046894E+002          9.7199999999943259E+002          0.0000000000000000E+000          5.3578101341953319E+000          4.5924086864531404E+001          4.5588571658923307E+000          0.0000000000000000E+000          5.4998891881428381E+002          2.1015389336156090E+002         -9.9171100178577998E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411976309E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411976309E+053         -5.7495666453987472E+027          0.0000000000000000E+000         -5.7495666453987472E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.5146240050603817E+006          9.5893752147979160E+002          9.7199999999897477E+002          0.0000000000000000E+000          5.3578101341965922E+000          4.5924086864542225E+001          4.7269583015129717E+000          0.0000000000000000E+000          5.4998891881402471E+002          2.1015389336146194E+002         -9.9140535719936684E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411955943E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411955943E+053         -5.7495666454078665E+027          0.0000000000000000E+000         -5.7495666454078665E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
