                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                                       ""                                 "CRMATH"                               "20240218"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                            star_1_radius                            star_2_radius                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                  lg_accretion_luminosity                                  bh_spin                                    J_orb                                 J_spin_1                                 J_spin_2                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  2.0046884346862029E+002                  1.2000000000000000E+001                 -9.8999999999999986E+001                  2.3020468848809381E+000                                     2455                  4.3000871612889737E+000                  3.5833106154400346E-001                  7.8125867030312267E-008                  9.9999999000924888E-001                  9.9999995314690526E-001                  3.5834059677408120E-001                  7.8125867030312267E-008                  9.9999999000924888E-001                  9.9999995314690526E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2240490754081603E+033                  8.0209222222826415E+033                  8.5899276482942146E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1882493388629874E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0305531274245938E+000                 -2.9973061422563489E+001                 -1.1740169830895265E+001                  4.0305531274245938E+000                  4.4425625372743838E+000                  1.0131855997670231E+004                  4.0056890086094663E+000                  6.4037259062046292E-001                  4.2365036921098316E+000                  1.7238667462403562E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5138525252020818E+000                  8.7731913446582899E-001                  1.6556288819632957E+001                  6.1740473981594113E-001                  8.4944020888548122E-001                  6.9888029737058388E-001                  2.8057044051170271E-001                  8.6665361388723157E-005                  9.2914443144616245E-003                  3.4468833607860798E-003                  9.3805276451495376E-003                  8.3950315383567862E+000                  3.3622821560600333E+000                  1.8608977862399751E+000                  4.0276046188825090E+000                 -2.9973061422563489E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  2.0046884346862029E+002                  9.5893752148130841E+002                  9.7199999999999977E+002                  0.0000000000000000E+000                  5.3578101341937678E+000                  4.5924086864518010E+001                  4.3689048929529477E+000                  0.0000000000000000E+000                  5.4998891881460486E+002                  2.1015389336168352E+002                 -9.9205637651324097E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551412001541E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551412001541E+053                 -5.7495666453886570E+027                  0.0000000000000000E+000                 -5.7495666453886570E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      10                  5.2039069809621997E+003                  1.2000000000000000E+001                 -9.8999999999999986E+001                  3.0146780993095614E+000                                     1006                  3.8022483452792364E+000                  3.1555900238522294E-001                  7.8125849943285856E-008                  9.9999998792343481E-001                  9.9999995882389803E-001                  3.1685402877326968E-001                  7.8125849943285856E-008                  9.9999998792343481E-001                  9.9999995882389803E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0774479329418822E+033                  8.1138943445791638E+033                  8.5661170411353280E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1994062499727232E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9800143375371286E+000                 -2.9852465217396176E+001                 -9.8999999999999986E+001                  3.9800143375371286E+000                  4.4437116844644473E+000                  1.0143244743642874E+004                  4.0061769045873969E+000                  6.3831824422929939E-001                  4.2406123848921586E+000                  1.7402529750918155E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5158715740615243E+000                  8.8307613916386973E-001                  1.6564051433304197E+001                  6.1746392355632163E-001                  8.4937835648149196E-001                  6.9875664555187378E-001                  2.8069168472665368E-001                  5.7182937102832292E-005                  9.2726669853817612E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  8.3945445091101405E+000                  3.3627501643706634E+000                  1.7390616817544884E+000                  3.9775135231296681E+000                 -2.9852465217396176E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  5.2039069809621997E+003                  9.5893752148130579E+002                  9.7199999999999795E+002                  0.0000000000000000E+000                  5.3578101341937714E+000                  4.5924086864518038E+001                  4.3482874318207454E+000                  0.0000000000000000E+000                  5.4998891881460372E+002                  2.1015389336168315E+002                 -9.9209386356148299E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551412001456E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551412001456E+053                 -5.7495666453886910E+027                  0.0000000000000000E+000                 -5.7495666453886910E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      20                  3.7425127373767471E+004                  1.2000000000000000E+001                 -9.8999999999999986E+001                  3.8064905597858099E+000                                     1006                  3.8996441020311816E+000                  3.2276761552584265E-001                  7.8125849943285856E-008                  9.9999998858211292E-001                  9.9999995975361322E-001                  3.2915007672131769E-001                  7.8125849943285856E-008                  9.9999998858211292E-001                  9.9999995975361322E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1520553359031086E+033                  7.9213041346866295E+033                  7.9677288288502293E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0156187282513121E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0004793578293034E+000                 -2.9800669675882475E+001                 -9.8999999999999986E+001                  4.0004793578293025E+000                  4.4433134794446314E+000                  9.9782859760402316E+003                  3.9990559465901807E+000                  6.3555417527032432E-001                  4.2461405228101086E+000                  1.7625462537182193E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5167031461518290E+000                  8.8352275688237880E-001                  1.6565247024189926E+001                  6.1784481589344520E-001                  8.4897741046256425E-001                  6.9795476252117461E-001                  2.8150937563776346E-001                  5.8273600002099257E-005                  9.1478743310455749E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  8.3912549216248902E+000                  3.3660379973667354E+000                  1.6718822022320012E+000                  3.9984366412505494E+000                 -2.9800669675882475E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.7425127373767471E+004                  9.5893752148128601E+002                  9.7199999999998465E+002                  0.0000000000000000E+000                  5.3578101341938087E+000                  4.5924086864518365E+001                  4.3207006204573197E+000                  0.0000000000000000E+000                  5.4998891881459622E+002                  2.1015389336168025E+002                 -9.9214402241090627E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551412000861E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551412000861E+053                 -5.7495666453889175E+027                  0.0000000000000000E+000                 -5.7495666453889175E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      30                  2.3693043125407747E+005                  1.2000000000000000E+001                 -9.8999999999999986E+001                  4.5983030202620574E+000                                      997                  3.9362679915433869E+000                  3.2596189675449472E-001                  7.8125849943285856E-008                  9.9999998792343481E-001                  9.9999995850449575E-001                  3.3550764776417064E-001                  7.8125849943285856E-008                  9.9999998792343481E-001                  9.9999995850449575E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1606621691586855E+033                  7.9158008702043705E+033                  8.7183910742476346E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1654702035935633E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0018516225450496E+000                 -2.9896381510330215E+001                 -9.8999999999999986E+001                  4.0018516225450496E+000                  4.4416353090447540E+000                  1.0017883902323487E+004                  4.0007759943257017E+000                  6.3977053993783939E-001                  4.2377077934750789E+000                  1.7286528776591080E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5148334932628327E+000                  8.7612462061482377E-001                  1.6554602097380965E+001                  6.2019936814641441E-001                  8.4651096833888317E-001                  6.9302187724689257E-001                  2.8652805531724251E-001                  6.4493880850018990E-005                  8.4697881502909193E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  8.3708434190603711E+000                  3.3865353460280314E+000                  1.5895793561117757E+000                  4.0001675771448255E+000                 -2.9896381510330215E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.3693043125407744E+005                  9.5893752148116664E+002                  9.7199999999990393E+002                  0.0000000000000000E+000                  5.3578101341940325E+000                  4.5924086864520277E+001                  4.3628525944171077E+000                  0.0000000000000000E+000                  5.4998891881455063E+002                  2.1015389336166282E+002                 -9.9206738091410851E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411997271E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411997271E+053                 -5.7495666453903161E+027                  0.0000000000000000E+000                 -5.7495666453903161E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      40                  1.3913569428241900E+006                  1.2000000000000000E+001                 -9.8999999999999986E+001                  5.2914763203028512E+000                                      990                  3.9003464624292343E+000                  3.2276761552584265E-001                  7.8125849943285856E-008                  9.9999998633162945E-001                  9.9999995216327719E-001                  3.3233203343610274E-001                  7.8125849943285856E-008                  9.9999998633162945E-001                  9.9999995216327719E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1638794590398940E+033                  7.8411541669784373E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0165269273837678E+000                 -3.0072721172940621E+001                 -1.1263048576175603E+001                  4.0165269273837678E+000                  4.4358800729015089E+000                  1.0373515037594520E+004                  4.0159259408409360E+000                  6.5885598548194790E-001                  4.1995369023868614E+000                  1.5832040872450230E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5102512682640121E+000                  8.5390889534703562E-001                  1.6519396956592466E+001                  6.3451659600093213E-001                  8.3192683177070215E-001                  6.6385360819732697E-001                  3.1601034353351459E-001                  8.7257937206308147E-005                  5.9880849673489885E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  8.2510036051881155E+000                  3.5072449589306491E+000                  1.4923058630299091E+000                  4.0152261185155753E+000                 -3.0072721172940621E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  1.3913569428241896E+006                  9.5893752148046894E+002                  9.7199999999943259E+002                  0.0000000000000000E+000                  5.3578101341953319E+000                  4.5924086864531404E+001                  4.5588571658923307E+000                  0.0000000000000000E+000                  5.4998891881428381E+002                  2.1015389336156090E+002                 -9.9171100178577998E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411976309E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411976309E+053                 -5.7495666453987472E+027                  0.0000000000000000E+000                 -5.7495666453987472E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      50                  3.7720560129177347E+006                  1.2000000000000000E+001                 -9.8999999999999986E+001                  5.4087779225997457E+000                                     1026                  3.6636371335951545E+000                  3.0428870223363136E-001                  7.8125849832263554E-008                  3.4499528672538637E-001                  3.4184555047238013E-001                  3.0530309446626291E-001                  7.8125849832263554E-008                  3.4589622206177473E-001                  3.4183982025277532E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1622854125975439E+033                  7.5222690933196936E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0527636837658445E+000                 -2.9847211552954224E+001                 -9.8999999999999986E+001                  4.0527636837658445E+000                  4.4284539317892238E+000                  1.1280596533540427E+004                  4.0523320663472111E+000                  6.9191133045965370E-001                  4.1334262124314503E+000                  1.3596471366800241E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5106265045083198E+000                  8.3762453555605265E-001                  1.6483230177608107E+001                  6.7035364289607080E-001                  7.9819196487113053E-001                  5.9638389316698392E-001                  3.8381683810682099E-001                  1.1281768050699407E-004                  3.3283787410173437E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  7.9895473373034340E+000                  3.7698028069875682E+000                  1.3759780765091314E+000                  4.0518486098822954E+000                 -2.9847211552954224E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  3.7720560129177333E+006                  9.5893752147903217E+002                  9.7199999999846159E+002                  0.0000000000000000E+000                  5.3578101341980071E+000                  4.5924086864554340E+001                  4.9193908663652408E+000                  0.0000000000000000E+000                  5.4998891881373447E+002                  2.1015389336135098E+002                 -9.9105547275938610E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411933127E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411933127E+053                 -5.7495666454183482E+027                  0.0000000000000000E+000                 -5.7495666454183482E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      60                  6.2526061906657470E+006                  1.2000000000000000E+001                 -9.8999999999999986E+001                  5.3675476318533315E+000                                     1009                  3.3274170596132864E+000                  2.7544025357439594E-001                  7.8125849832263554E-008                  3.4656984101388943E-001                  3.4184146857499043E-001                  2.8197151023124145E-001                  7.8125849832263554E-008                  3.4744989654776864E-001                  3.4183892562276513E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1333816527366135E+033                  7.2100883633348552E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0957015479338699E+000                 -2.9322187564479364E+001                 -1.1740169830895265E+001                  4.0957015479338699E+000                  4.4204359018931436E+000                  1.2453336257481342E+004                  4.0952857148143993E+000                  7.2942421448540873E-001                  4.0584004443799397E+000                  1.1439326200364483E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5160012417216526E+000                  8.3487490333883974E-001                  1.6459274207292911E+001                  7.2064281636912142E-001                  7.5653312585520061E-001                  5.1306623208365243E-001                  4.6732316254535761E-001                  1.2926250913184394E-004                  1.8414051010434563E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  7.6915239178983832E+000                  4.0684199604874127E+000                  1.2507006726773879E+000                  4.0950805446443450E+000                 -2.9322187564479364E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  6.2526061906657461E+006                  9.5893752147753378E+002                  9.7199999999744921E+002                  0.0000000000000000E+000                  5.3578101342007987E+000                  4.5924086864578264E+001                  5.3632027399384867E+000                  0.0000000000000000E+000                  5.4998891881316149E+002                  2.1015389336113208E+002                 -9.9024852582209844E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411888108E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411888108E+053                 -5.7495666454394951E+027                  0.0000000000000000E+000                 -5.7495666454394951E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      70                  8.3380418584498055E+006                  1.2000000000000000E+001                 -9.8999999999999986E+001                  5.2755419104316816E+000                                     1011                  3.0202997743202911E+000                  2.4917910303163693E-001                  7.8125850165330461E-008                  3.4656984101388966E-001                  3.4183629814722954E-001                  2.5904925049691863E-001                  7.8125850165330461E-008                  3.4791484068215078E-001                  3.4183106075853692E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0650220859440613E+033                  6.9868120879397291E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1362808950986309E+000                 -2.8707244497251505E+001                 -1.1740169830895265E+001                  4.1362808950986309E+000                  4.4112898292460274E+000                  1.3672180004516269E+004                  4.1358377675632880E+000                  7.6799238615408505E-001                  3.9812641010425875E+000                  9.5777633250890285E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5235260024469701E+000                  8.4134520165246085E-001                  1.6444423791022874E+001                  7.7971255615228474E-001                  7.1447316369949831E-001                  4.2894631766063346E-001                  5.5153839089632317E-001                  1.3986004093705223E-004                  1.0932610423226106E-003                  3.4468833607860798E-003                  9.3805276451495445E-003                  7.4159777195890078E+000                  4.3442422310000159E+000                  1.1177416816378489E+000                  4.1358645501943103E+000                 -2.8707244497251505E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  8.3380418584498046E+006                  9.5893752147627413E+002                  9.7199999999659781E+002                  0.0000000000000000E+000                  5.3578101342031426E+000                  4.5924086864598372E+001                  5.8612788870640031E+000                  0.0000000000000000E+000                  5.4998891881267991E+002                  2.1015389336094802E+002                 -9.8934291458141133E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411850252E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411850252E+053                 -5.7495666454575029E+027                  0.0000000000000000E+000                 -5.7495666454575029E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      80                  9.9947650462790076E+006                  1.2000000000000000E+001                 -9.8999999999999986E+001                  5.1717638293145765E+000                                      997                  2.7619861987570116E+000                  2.2938495621942001E-001                  7.8125850103530937E-008                  3.4814439530239250E-001                  3.4182857699333397E-001                  2.3598891045440462E-001                  7.8125850103530937E-008                  3.4959876460591438E-001                  3.4182337468651391E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9591967198426548E+033                  6.7313065287313449E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1720408389881456E+000                 -2.8068262477060117E+001                 -9.8999999999999986E+001                  4.1720408389881456E+000                  4.4009548372448757E+000                  1.4843976614840556E+004                  4.1715502614909656E+000                  8.0651861712022765E-001                  3.9042116391103026E+000                  8.0206882999086156E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5320874677106007E+000                  8.5473404356754235E-001                  1.6436774997644140E+001                  8.4553912401454900E-001                  6.7452961903321607E-001                  3.4905923346111367E-001                  6.3147480686524149E-001                  1.4762696069975771E-004                  7.0908598189682831E-004                  3.4468833607860798E-003                  9.3805276451495445E-003                  7.1771787338276383E+000                  4.5831703143356117E+000                  9.7597863929910889E-001                  4.1717642337457370E+000                 -2.8068262477060117E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  9.9947650462790057E+006                  9.5893752147527346E+002                  9.7199999999592171E+002                  0.0000000000000000E+000                  5.3578101342050077E+000                  4.5924086864614345E+001                  6.4049923758416805E+000                  0.0000000000000000E+000                  5.4998891881229736E+002                  2.1015389336080182E+002                 -9.8835432468408047E-001                 -1.0000000000000000E+000                  1.2000000000000000E+001                  1.3999999999999997E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.6449551411820188E+053                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6449551411820188E+053                 -5.7495666454718361E+027                  0.0000000000000000E+000                 -5.7495666454718361E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
